id,predicted_price
2591820310,378605.1
7974200820,846873.06
7701450110,1085940.4
9522300010,1893490.0
9510861140,746378.4
1761300310,256960.92
7732410120,810322.9
7010701383,613455.25
291310170,403139.56
4232901990,591215.2
6840701125,590829.06
3971700580,405089.28
4202400078,242693.58
6064800090,337709.47
2626119028,258616.2
3303980660,1047002.25
862000020,711935.0
2386000070,940825.25
1138000450,377020.8
1775800420,455540.25
2291401425,426842.75
2025770560,848252.8
3525069037,750589.8
9324800450,554462.2
8080400136,531077.4
8651540040,505926.94
9407001790,242463.62
1773101530,216356.42
9432900250,338969.16
1794500695,597347.4
2220069003,363390.84
923000120,463678.3
5728000060,532023.3
16000200,263907.16
1926059094,442530.12
6672900220,1020031.75
3629860060,837406.7
1822069109,430342.78
6675500105,380959.3
249000180,1906127.2
226059065,470477.84
396100110,307282.97
9264450460,350415.3
7853361210,370631.25
9474700020,301234.7
421000455,237991.48
3755200220,413927.6
7960100075,465009.9
9477100490,392926.0
9138100350,779975.8
1624049275,463084.38
2770606890,512419.16
1157200189,406972.72
2770601800,567327.9
9301300805,532259.8
2325069032,1159887.9
1021079099,340579.62
7215730040,724180.9
1853200080,464834.78
3224600340,702121.06
3222049120,426343.97
2113700025,291321.1
7893207925,210801.61
3586501085,525457.56
8024200010,377735.56
7116500705,178885.58
1598600209,312582.53
7204200025,831704.1
4206901505,545239.6
2937300440,939096.94
7205000180,327357.94
8718500665,368025.9
5318101765,904781.9
4122700020,908878.56
8078700020,517319.47
3303980680,938249.2
8924100372,1203537.2
2781270210,209409.42
519000043,537044.5
3225069301,1543512.4
151000075,713895.8
2297400020,424029.44
6617500085,632723.25
104510180,237562.9
3528900060,972653.9
3345100286,534751.8
1226039130,439205.7
8712100720,791864.4
3037200010,374758.84
3626039268,398904.78
104510230,245119.89
5112800060,423483.47
6072400280,661737.06
5317100570,1139729.5
9528102993,537284.75
2919201095,504865.16
6181400920,256862.42
185000161,240433.39
8691400010,753691.44
3345700165,548095.5
6151800486,214951.94
4340000080,1261850.9
4136960010,562775.44
3634100030,364655.88
1624059224,1076480.9
2788400090,260987.81
9828200762,468227.25
7524400250,549174.44
3528000290,742469.44
5700003630,2204638.0
2720069019,350597.16
7227501170,227562.61
2397101270,582725.7
6792100090,741641.44
2770602265,554460.06
3971700937,279634.06
422049203,218833.92
3076500830,279118.78
1423400260,283986.22
9161100795,465823.06
3126049052,480136.66
5100401468,405635.12
514500235,400736.94
1423200170,216374.78
1402100070,403417.62
624110020,747931.0
2407000145,198404.2
1890000225,877130.3
1320069271,337781.3
5490700085,353645.94
263000155,490568.88
3726800201,423499.62
